storeid,Vote,,,,,,,,
1931,Yes,,,,,,,,
1942,Yes,,,,,,,,
1943,Yes,,,,,,,,
1954,Yes,,,,,,,,
1969,Yes,,,,,,,,
1970,Yes,,,,,,,,
1980,Yes,,,,,,,,
1987,Yes,,,,,,,,
2001,Yes,,,,,,,,
2004,Yes,,,,,,,,
2005,Yes,,,,,,,,
2007,Yes,,,,,,,,
2008,Yes,,,,,,,,
2009,Yes,,,,,,,,
2010,Yes,,,,,,,,
2011,Yes,,,,,,,,
2012,Yes,,,,,,,,
2013,Yes,,,,,,,,
2023,Yes,,,,,,,,
2027,Yes,,,,,,,,
2032,Yes,,,,,,,,
2033,Yes,,,,,,,,
2052,Yes,,,,,,,,
2056,Yes,,,,,,,,
2058,Yes,,,,,,,,
2064,Yes,,,,,,,,
2067,Yes,,,,,,,,
2071,Yes,,,,,,,,
2085,Yes,,,,,,,,
2093,Yes,,,,,,,,
2096,Yes,,,,,,,,
2098,Yes,,,,,,,,
2122,Yes,,,,,,,,
2124,Yes,,,,,,,,
2126,Yes,,,,,,,,
2128,Yes,,,,,,,,
2129,Yes,,,,,,,,
2140,Yes,,,,,,,,
2154,Yes,,,,,,,,
2160,Yes,,,,,,,,
2161,Yes,,,,,,,,
2177,Yes,,,,,,,,
2190,Yes,,,,,,,,
2191,Yes,,,,,,,,
2192,Yes,,,,,,,,
2193,Yes,,,,,,,,
2197,Yes,,,,,,,,
2203,Yes,,,,,,,,
2222,Yes,,,,,,,,
2224,Yes,,,,,,,,
2227,Yes,,,,,,,,
2231,Yes,,,,,,,,
2240,Yes,,,,,,,,
2244,Yes,,,,,,,,
2247,Yes,,,,,,,,
2256,Yes,,,,,,,,
2267,Yes,,,,,,,,
2272,Yes,,,,,,,,
2275,Yes,,,,,,,,
2278,Yes,,,,,,,,
2281,Yes,,,,,,,,
2282,Yes,,,,,,,,
2285,Yes,,,,,,,,
2295,Yes,,,,,,,,
2296,Yes,,,,,,,,
2300,Yes,,,,,,,,
2302,Yes,,,,,,,,
2304,Yes,,,,,,,,
2306,Yes,,,,,,,,
2307,Yes,,,,,,,,
2316,Yes,,,,,,,,
2328,Yes,,,,,,,,
2344,Yes,,,,,,,,
2345,Yes,,,,,,,,
2354,Yes,,,,,,,,
2355,Yes,,,,,,,,
2362,Yes,,,,,,,,
2364,Yes,,,,,,,,
2374,Yes,,,,,,,,
2375,Yes,,,,,,,,
2376,Yes,,,,,,,,
2377,Yes,,,,,,,,
2378,Yes,,,,,,,,
2382,Yes,,,,,,,,
2389,Yes,,,,,,,,
2390,Yes,,,,,,,,
2410,Yes,,,,,,,,
2425,Yes,,,,,,,,
2435,Yes,,,,,,,,
2436,Yes,,,,,,,,
2439,Yes,,,,,,,,
2443,Yes,,,,,,,,
2461,Yes,,,,,,,,
2465,Yes,,,,,,,,
2467,Yes,,,,,,,,
2473,Yes,,,,,,,,
2475,Yes,,,,,,,,
2478,Yes,,,,,,,,
2479,Yes,,,,,,,,
2487,Yes,,,,,,,,
2489,Yes,,,,,,,,
2502,Yes,,,,,,,,
2505,Yes,,,,,,,,
2513,Yes,,,,,,,,
2517,Yes,,,,,,,,
2527,Yes,,,,,,,,
2530,Yes,,,,,,,,
2531,Yes,,,,,,,,
2533,Yes,,,,,,,,
2537,Yes,,,,,,,,
2539,Yes,,,,,,,,
2541,Yes,,,,,,,,
2543,Yes,,,,,,,,
2544,Yes,,,,,,,,
2554,Yes,,,,,,,,
2569,Yes,,,,,,,,
2572,Yes,,,,,,,,
2578,Yes,,,,,,,,
2581,Yes,,,,,,,,
2583,Yes,,,,,,,,
2588,Yes,,,,,,,,
2590,Yes,,,,,,,,
2593,Yes,,,,,,,,
2596,Yes,,,,,,,,
2608,Yes,,,,,,,,
2615,Yes,,,,,,,,
2616,Yes,,,,,,,,
2617,Yes,,,,,,,,
2631,Yes,,,,,,,,
2632,Yes,,,,,,,,
2637,Yes,,,,,,,,
2639,Yes,,,,,,,,
2645,Yes,,,,,,,,
2649,Yes,,,,,,,,
2661,Yes,,,,,,,,
2681,Yes,,,,,,,,
2707,Yes,,,,,,,,
2717,Yes,,,,,,,,
4000,Yes,,,,,,,,
4047,Yes,,,,,,,,Formula- Do no Delete
4060,Yes,,,,,,,,
4074,Yes,,,,,,,,
4089,Yes,,,,,,,,
4114,Yes,,,,,,,,
4128,Yes,,,,,,,,
4134,Yes,,,,,,,,
4135,Yes,,,,,,,,
4144,Yes,,,,,,,,
4146,Yes,,,,,,,,
4154,Yes,,,,,,,,
4155,Yes,,,,,,,,
4156,Yes,,,,,,,,
4169,Yes,,,,,,,,
4174,Yes,,,,,,,,
4180,Yes,,,,,,,,
4181,Yes,,,,,,,,
4195,Yes,,,,,,,,
4202,Yes,,,,,,,,
4217,Yes,,,,,,,,
4226,Yes,,,,,,,,
4234,Yes,,,,,,,,
4236,Yes,,,,,,,,
4237,Yes,,,,,,,,
4239,Yes,,,,,,,,
4241,Yes,,,,,,,,
4251,Yes,,,,,,,,
4264,Yes,,,,,,,,
4286,Yes,,,,,,,,
4305,Yes,,,,,,,,
4310,Yes,,,,,,,,
4326,Yes,,,,,,,,
4327,Yes,,,,,,,,
4329,Yes,,,,,,,,
4337,Yes,,,,,,,,
4338,Yes,,,,,,,,
4342,Yes,,,,,,,,
4350,Yes,,,,,,,,
4362,Yes,,,,,,,,
4363,Yes,,,,,,,,
4366,Yes,,,,,,,,
4369,Yes,,,,,,,,
4378,Yes,,,,,,,,
1859,Yes,,,,,,,,
19,Yes,,,,,,,,
2195,Yes,,,,,,,,
2434,Yes,,,,,,,,
558,Yes,,,,,,,,
2183,Yes,,,,,,,,
592,Yes,,,,,,,,
2460,Yes,,,,,,,,
607,Yes,,,,,,,,
820,Yes,,,,,,,,
1882,Yes,,,,,,,,
2609,Yes,,,,,,,,
1323,Yes,,,,,,,,
4184,Yes,,,,,,,,
132,Yes,,,,,,,,
2540,Yes,,,,,,,,
2542,Yes,,,,,,,,
2538,Yes,,,,,,,,
2675,Yes,,,,,,,,
1008,Yes,,,,,,,,
53,Yes,,,,,,,,
2640,Yes,,,,,,,,
1990,Yes,,,,,,,,
187,Yes,,,,,,,,
325,Yes,,,,,,,,
1923,Yes,,,,,,,,
2636,Yes,,,,,,,,
