STATE,CITY,TIMEZONE,UTC-DIFFERENCE
AL,"Chestnut Grove",CST,"UTC - 6"
AL,Chickasaw,CST,"UTC - 6"
AL,Childersburg,CST,"UTC - 6"
AL,Chisolm,CST,"UTC - 6"
AL,Choccolocco,CST,"UTC - 6"
AL,Christiana,CST,"UTC - 6"
AL,Chrysler,CST,"UTC - 6"
AL,Chulafinnee,CST,"UTC - 6"
AL,Chunchula,CST,"UTC - 6"
AL,Citronelle,CST,"UTC - 6"
AL,Claiborne,CST,"UTC - 6"
AL,Clanton,CST,"UTC - 6"
AL,Clay,CST,"UTC - 6"
AL,Clayhatchee,CST,"UTC - 6"
AL,Clayton,CST,"UTC - 6"
AL,Cleveland,CST,"UTC - 6"
AL,Clinton,CST,"UTC - 6"
AL,Clio,CST,"UTC - 6"
AL,Clopton,CST,"UTC - 6"
AL,Cloverdale,CST,"UTC - 6"
AL,"Coal City",CST,"UTC - 6"
AL,"Coal Fire",CST,"UTC - 6"
AL,Coalburg,CST,"UTC - 6"
AL,Coaling,CST,"UTC - 6"
AL,Coatopa,CST,"UTC - 6"
AL,Cochrane,CST,"UTC - 6"
AL,Coden,CST,"UTC - 6"
AL,"Coffee Springs",CST,"UTC - 6"
AL,Coffeeville,CST,"UTC - 6"
AL,Coker,CST,"UTC - 6"
AL,Collinsville,CST,"UTC - 6"
AL,Columbia,CST,"UTC - 6"
AL,Columbiana,CST,"UTC - 6"
AL,Comer,CST,"UTC - 6"
AL,Concord,CST,"UTC - 6"
AL,"Cook Springs",CST,"UTC - 6"
AL,"Coosa Pines",CST,"UTC - 6"
AL,Coosada,CST,"UTC - 6"
AL,Copeland,CST,"UTC - 6"
AL,Cordova,CST,"UTC - 6"
AL,Corinth,CST,"UTC - 6"
AL,Cortelyou,CST,"UTC - 6"
AL,Cottondale,CST,"UTC - 6"
AL,Cottonton,CST,"UTC - 6"
AL,Cottonwood,CST,"UTC - 6"
AL,Courtland,CST,"UTC - 6"
AL,Cowarts,CST,"UTC - 6"
AL,Coy,CST,"UTC - 6"
AL,Cragford,CST,"UTC - 6"
AL,"Crane Hill",CST,"UTC - 6"
AL,Creola,CST,"UTC - 6"
AL,Crestline,CST,"UTC - 6"
AL,"Crestline Heights",CST,"UTC - 6"
AL,Cropwell,CST,"UTC - 6"
AL,Crossville,CST,"UTC - 6"
AL,Cuba,CST,"UTC - 6"
AL,Cullman,CST,"UTC - 6"
AL,Cusseta,CST,"UTC - 6"
AL,Cypress,CST,"UTC - 6"
AL,Dadeville,CST,"UTC - 6"
AL,Daleville,CST,"UTC - 6"
AL,Damascus,CST,"UTC - 6"
AL,Dannelly,CST,"UTC - 6"
AL,Danville,CST,"UTC - 6"
AL,Daphne,CST,"UTC - 6"
AL,"Dauphin Island",CST,"UTC - 6"
AL,Daviston,CST,"UTC - 6"
AL,Dawson,CST,"UTC - 6"
AL,Dayton,CST,"UTC - 6"
AL,"De Armanville",CST,"UTC - 6"
AL,Deatsville,CST,"UTC - 6"
AL,Decatur,CST,"UTC - 6"
AL,"Deer Park",CST,"UTC - 6"
AL,Delmar,CST,"UTC - 6"
AL,Delta,CST,"UTC - 6"
AL,Demopolis,CST,"UTC - 6"
AL,Detroit,CST,"UTC - 6"
AL,Dickert,CST,"UTC - 6"
AL,Dickinson,CST,"UTC - 6"
AL,Dixiana,CST,"UTC - 6"
AL,Dixie,CST,"UTC - 6"
AL,"Dixons Mills",CST,"UTC - 6"
AL,Dixonville,CST,"UTC - 6"
AL,Docena,CST,"UTC - 6"
AL,Dolomite,CST,"UTC - 6"
AL,Dora,CST,"UTC - 6"
AL,Dothan,CST,"UTC - 6"
AL,"Double Springs",CST,"UTC - 6"
AL,Douglas,CST,"UTC - 6"
AL,Dozier,CST,"UTC - 6"
AL,Duncanville,CST,"UTC - 6"
AL,Dutton,CST,"UTC - 6"
AL,"East Brewton",CST,"UTC - 6"
AL,"East Gadsden",CST,"UTC - 6"
AL,"East Tallassee",CST,"UTC - 6"
AL,Eastaboga,CST,"UTC - 6"
AL,Eastside,CST,"UTC - 6"
AL,Echo,CST,"UTC - 6"
AL,Echola,CST,"UTC - 6"
AL,Eclectic,CST,"UTC - 6"
AL,Eden,CST,"UTC - 6"
AL,Edwardsville,CST,"UTC - 6"
AL,"Eight Mile",CST,"UTC - 6"
AL,Elba,CST,"UTC - 6"
AL,Elberta,CST,"UTC - 6"
AL,Eldridge,CST,"UTC - 6"
AL,Elkmont,CST,"UTC - 6"
AL,Elliotsville,CST,"UTC - 6"
AL,Elmore,CST,"UTC - 6"
AL,Elrod,CST,"UTC - 6"
AL,Elsanor,CST,"UTC - 6"
AL,Emelle,CST,"UTC - 6"
AL,Empire,CST,"UTC - 6"
AL,"English Village",CST,"UTC - 6"
AL,Ensley,CST,"UTC - 6"
AL,Enterprise,CST,"UTC - 6"
