STATE,CITY,TIMEZONE,UTC-DIFFERENCE
CO,Redvale,MST,"UTC - 7"
CO,Richfield,MST,"UTC - 7"
CO,Rico,MST,"UTC - 7"
CO,Ridgway,MST,"UTC - 7"
CO,Rifle,MST,"UTC - 7"
CO,"Rio Blanco",MST,"UTC - 7"
CO,Riverbend,MST,"UTC - 7"
CO,Roberta,MST,"UTC - 7"
CO,Rockrimmon,MST,"UTC - 7"
CO,Rockvale,MST,"UTC - 7"
CO,"Rocky Ford",MST,"UTC - 7"
CO,"Rogers Mesa",MST,"UTC - 7"
CO,Roggen,MST,"UTC - 7"
CO,Rollinsville,MST,"UTC - 7"
CO,Romeo,MST,"UTC - 7"
CO,Rosita,MST,"UTC - 7"
CO,Ruedi,MST,"UTC - 7"
CO,Rulison,MST,"UTC - 7"
CO,Rush,MST,"UTC - 7"
CO,Rye,MST,"UTC - 7"
CO,Saguache,MST,"UTC - 7"
CO,"Saint Elmo",MST,"UTC - 7"
CO,Salida,MST,"UTC - 7"
CO,"San Acacio",MST,"UTC - 7"
CO,"San Antonio",MST,"UTC - 7"
CO,"San Francisco",MST,"UTC - 7"
CO,"San Isabel",MST,"UTC - 7"
CO,"San Luis",MST,"UTC - 7"
CO,"San Miguel",MST,"UTC - 7"
CO,"San Pablo",MST,"UTC - 7"
CO,"San Pedro",MST,"UTC - 7"
CO,"San Rafeal",MST,"UTC - 7"
CO,Sanford,MST,"UTC - 7"
CO,Sapinero,MST,"UTC - 7"
CO,Sargents,MST,"UTC - 7"
CO,"Sargents School",MST,"UTC - 7"
CO,Sawpit,MST,"UTC - 7"
CO,Security,MST,"UTC - 7"
CO,Sedalia,MST,"UTC - 7"
CO,Sedgwick,MST,"UTC - 7"
CO,Segundo,MST,"UTC - 7"
CO,Seibert,MST,"UTC - 7"
CO,Severance,MST,"UTC - 7"
CO,"Shady Camp",MST,"UTC - 7"
CO,Shawnee,MST,"UTC - 7"
CO,Sheridan,MST,"UTC - 7"
CO,"Sheridan Lake",MST,"UTC - 7"
CO,Silt,MST,"UTC - 7"
CO,"Silver Cliff",MST,"UTC - 7"
CO,"Silver Creek",MST,"UTC - 7"
CO,"Silver Plume",MST,"UTC - 7"
CO,Silverthorne,MST,"UTC - 7"
CO,Silverton,MST,"UTC - 7"
CO,Simla,MST,"UTC - 7"
CO,Skyland,MST,"UTC - 7"
CO,Slater,MST,"UTC - 7"
CO,"Slick Rock",MST,"UTC - 7"
CO,Smeltertown,MST,"UTC - 7"
CO,Snowmass,MST,"UTC - 7"
CO,"Snowmass Village",MST,"UTC - 7"
CO,Snyder,MST,"UTC - 7"
CO,Somerset,MST,"UTC - 7"
CO,Sopris,MST,"UTC - 7"
CO,"South Fork",MST,"UTC - 7"
CO,"Spar City",MST,"UTC - 7"
CO,"Spring Creek",MST,"UTC - 7"
CO,Springfield,MST,"UTC - 7"
CO,"Squaw Point",MST,"UTC - 7"
CO,Stanley,MST,"UTC - 7"
CO,Stapleton,MST,"UTC - 7"
CO,Starkville,MST,"UTC - 7"
CO,"Steamboat Springs",MST,"UTC - 7"
CO,Sterling,MST,"UTC - 7"
CO,Stoneham,MST,"UTC - 7"
CO,Stoner,MST,"UTC - 7"
CO,Stonewall,MST,"UTC - 7"
CO,Stonington,MST,"UTC - 7"
CO,Strasburg,MST,"UTC - 7"
CO,"Stratmoor Hills",MST,"UTC - 7"
CO,Stratton,MST,"UTC - 7"
CO,"Sugar City",MST,"UTC - 7"
CO,Summitville,MST,"UTC - 7"
CO,Superior,MST,"UTC - 7"
CO,Sweetwater,MST,"UTC - 7"
CO,Swink,MST,"UTC - 7"
CO,Swissvale,MST,"UTC - 7"
CO,Tabernash,MST,"UTC - 7"
CO,Tamarron,MST,"UTC - 7"
CO,"Tanglewood Acres",MST,"UTC - 7"
CO,Tarryall,MST,"UTC - 7"
CO,"Taylor Park",MST,"UTC - 7"
CO,Telluride,MST,"UTC - 7"
CO,Tercio,MST,"UTC - 7"
CO,"Texas Creek",MST,"UTC - 7"
CO,Thatcher,MST,"UTC - 7"
CO,Thornton,MST,"UTC - 7"
CO,Tiffany,MST,"UTC - 7"
CO,"Timber Lake",MST,"UTC - 7"
CO,Timnath,MST,"UTC - 7"
CO,Timpas,MST,"UTC - 7"
CO,Tincup,MST,"UTC - 7"
CO,Toltec,MST,"UTC - 7"
CO,Toonerville,MST,"UTC - 7"
CO,Toponas,MST,"UTC - 7"
CO,"Torres Canon",MST,"UTC - 7"
CO,Towaoc,MST,"UTC - 7"
CO,Towner,MST,"UTC - 7"
CO,"Track City",MST,"UTC - 7"
CO,Trinchera,MST,"UTC - 7"
CO,Trinidad,MST,"UTC - 7"
CO,Truckton,MST,"UTC - 7"
CO,Turret,MST,"UTC - 7"
CO,"Twin Lakes",MST,"UTC - 7"
CO,"Twin Rock",MST,"UTC - 7"
CO,"Two Buttes",MST,"UTC - 7"
CO,Tyrone,MST,"UTC - 7"
CO,"Ute Pass",MST,"UTC - 7"
CO,Utleyville,MST,"UTC - 7"
CO,Vail,MST,"UTC - 7"
CO,Vallecito,MST,"UTC - 7"
CO,Vernon,MST,"UTC - 7"
CO,Victor,MST,"UTC - 7"
CO,Vigil,MST,"UTC - 7"
CO,Vilas,MST,"UTC - 7"
CO,"Villa Grove",MST,"UTC - 7"
CO,Villegreen,MST,"UTC - 7"
CO,Vineland,MST,"UTC - 7"
CO,"Virginia Dale",MST,"UTC - 7"
CO,Vona,MST,"UTC - 7"
CO,Vroman,MST,"UTC - 7"
CO,"Wagon Wheel Gap",MST,"UTC - 7"
CO,Wahatoya,MST,"UTC - 7"
CO,Walden,MST,"UTC - 7"
CO,Walsenburg,MST,"UTC - 7"
CO,Walsh,MST,"UTC - 7"
CO,Ward,MST,"UTC - 7"
CO,Washington,MST,"UTC - 7"
CO,Watkins,MST,"UTC - 7"
CO,Wattenburg,MST,"UTC - 7"
CO,Waverly,MST,"UTC - 7"
CO,Welby,MST,"UTC - 7"
CO,Weldona,MST,"UTC - 7"
CO,Wellington,MST,"UTC - 7"
CO,Wellsville,MST,"UTC - 7"
CO,"West Farm",MST,"UTC - 7"
CO,"West Glenwood",MST,"UTC - 7"
CO,"West Vail",MST,"UTC - 7"
CO,"West Village",MST,"UTC - 7"
CO,Westcliffe,MST,"UTC - 7"
CO,Westminster,MST,"UTC - 7"
CO,Weston,MST,"UTC - 7"
CO,"Westwood Lake",MST,"UTC - 7"
CO,Wetmore,MST,"UTC - 7"
CO,"Wheat Ridge",MST,"UTC - 7"
CO,"White Pine",MST,"UTC - 7"
CO,Whitewater,MST,"UTC - 7"
CO,Widefield,MST,"UTC - 7"
CO,Wiggins,MST,"UTC - 7"
CO,"Wild Horse",MST,"UTC - 7"
CO,"Wildhorse Mesa",MST,"UTC - 7"
CO,Wiley,MST,"UTC - 7"
CO,Willard,MST,"UTC - 7"
CO,Williamsburg,MST,"UTC - 7"
CO,Windsor,MST,"UTC - 7"
CO,"Windy Point",MST,"UTC - 7"
CO,"Winter Park",MST,"UTC - 7"
CO,Wolcott,MST,"UTC - 7"
CO,"Woodland Park",MST,"UTC - 7"
CO,Woodmoor,MST,"UTC - 7"
CO,Woodrow,MST,"UTC - 7"
CO,"Woody Creek",MST,"UTC - 7"
CO,Wray,MST,"UTC - 7"
CO,Yampa,MST,"UTC - 7"
CO,"Yellow Jacket",MST,"UTC - 7"
CO,Yoder,MST,"UTC - 7"
CO,Yuma,MST,"UTC - 7"
CT,Abington,EST,"UTC - 5"
CT,Allingtown,EST,"UTC - 5"
CT,Amston,EST,"UTC - 5"
CT,Andover,EST,"UTC - 5"
CT,Ansonia,EST,"UTC - 5"
CT,Ashford,EST,"UTC - 5"
CT,Avon,EST,"UTC - 5"
CT,Bakersville,EST,"UTC - 5"
CT,Ballouville,EST,"UTC - 5"
CT,Baltic,EST,"UTC - 5"
CT,Bantam,EST,"UTC - 5"
CT,Barkhamsted,EST,"UTC - 5"
CT,"Barry Square",EST,"UTC - 5"
CT,"Beacon Falls",EST,"UTC - 5"
CT,"Belle Haven",EST,"UTC - 5"
CT,Berlin,EST,"UTC - 5"
CT,Bethany,EST,"UTC - 5"
CT,Bethel,EST,"UTC - 5"
CT,Bethlehem,EST,"UTC - 5"
CT,"Bishops Corner",EST,"UTC - 5"
CT,Bissell,EST,"UTC - 5"
CT,Bloomfield,EST,"UTC - 5"
CT,"Blue Hills",EST,"UTC - 5"
CT,Bolton,EST,"UTC - 5"
CT,Borough,EST,"UTC - 5"
CT,Botsford,EST,"UTC - 5"
CT,Bozrah,EST,"UTC - 5"
CT,Branford,EST,"UTC - 5"
CT,Bridgeport,EST,"UTC - 5"
CT,Bridgewater,EST,"UTC - 5"
CT,Bristol,EST,"UTC - 5"
CT,"Broad Brook",EST,"UTC - 5"
CT,Brookfield,EST,"UTC - 5"
CT,"Brookfield Center",EST,"UTC - 5"
CT,Brooklyn,EST,"UTC - 5"
CT,Buckland,EST,"UTC - 5"
CT,Burlington,EST,"UTC - 5"
CT,Canaan,EST,"UTC - 5"
CT,Canterbury,EST,"UTC - 5"
CT,Canton,EST,"UTC - 5"
CT,"Canton Center",EST,"UTC - 5"
CT,"Center Groton",EST,"UTC - 5"
CT,Centerbrook,EST,"UTC - 5"
CT,Central,EST,"UTC - 5"
CT,"Central Village",EST,"UTC - 5"
CT,Chaplin,EST,"UTC - 5"
CT,"Cherry Brook",EST,"UTC - 5"
CT,Cheshire,EST,"UTC - 5"
CT,Chester,EST,"UTC - 5"
CT,Chesterfield,EST,"UTC - 5"
CT,"Chestnut Hill",EST,"UTC - 5"
CT,Clinton,EST,"UTC - 5"
CT,Cobalt,EST,"UTC - 5"
CT,Colbrook,EST,"UTC - 5"
CT,Colchester,EST,"UTC - 5"
CT,Colebrook,EST,"UTC - 5"
CT,Collinsville,EST,"UTC - 5"
CT,Columbia,EST,"UTC - 5"
CT,Conantville,EST,"UTC - 5"
CT,"Corbins Corner",EST,"UTC - 5"
CT,Cornwall,EST,"UTC - 5"
CT,"Cornwall Bridge",EST,"UTC - 5"
CT,"Cos Cob",EST,"UTC - 5"
CT,Coventry,EST,"UTC - 5"
CT,Cromwell,EST,"UTC - 5"
CT,Danbury,EST,"UTC - 5"
CT,Danielson,EST,"UTC - 5"
CT,Darien,EST,"UTC - 5"
CT,Dayville,EST,"UTC - 5"
CT,"Deep River",EST,"UTC - 5"
CT,Derby,EST,"UTC - 5"
CT,Durham,EST,"UTC - 5"
CT,"East Berlin",EST,"UTC - 5"
CT,"East Brooklyn",EST,"UTC - 5"
CT,"East Canaan",EST,"UTC - 5"
CT,"East End",EST,"UTC - 5"
CT,"East Glastonbury",EST,"UTC - 5"
CT,"East Granby",EST,"UTC - 5"
CT,"East Haddam",EST,"UTC - 5"
CT,"East Hampton",EST,"UTC - 5"
CT,"East Hartford",EST,"UTC - 5"
CT,"East Hartland",EST,"UTC - 5"
CT,"East Haven",EST,"UTC - 5"
CT,"East Killingly",EST,"UTC - 5"
CT,"East Lyme",EST,"UTC - 5"
CT,"East Norwalk",EST,"UTC - 5"
CT,"East Putnam",EST,"UTC - 5"
CT,"East Thompson",EST,"UTC - 5"
CT,"East Willington",EST,"UTC - 5"
CT,"East Windsor",EST,"UTC - 5"
CT,"East Windsor Hill",EST,"UTC - 5"
CT,"East Woodstock",EST,"UTC - 5"
CT,Eastford,EST,"UTC - 5"
CT,Easton,EST,"UTC - 5"
CT,Ellington,EST,"UTC - 5"
CT,Elliot,EST,"UTC - 5"
CT,Elmwood,EST,"UTC - 5"
CT,Enfield,EST,"UTC - 5"
CT,Essex,EST,"UTC - 5"
CT,Exeter,EST,"UTC - 5"
CT,Fabyan,EST,"UTC - 5"
CT,"Fair Haven",EST,"UTC - 5"
CT,Fairfield,EST,"UTC - 5"
CT,"Falls Village",EST,"UTC - 5"
CT,Farmington,EST,"UTC - 5"
CT,Fenwick,EST,"UTC - 5"
CT,Fitchville,EST,"UTC - 5"
CT,"Forbes Village",EST,"UTC - 5"
CT,Forestville,EST,"UTC - 5"
CT,"Fort Trumbull",EST,"UTC - 5"
CT,Franklin,EST,"UTC - 5"
CT,"Franklin Hill",EST,"UTC - 5"
CT,"Gales Ferry",EST,"UTC - 5"
CT,Gaylordsville,EST,"UTC - 5"
CT,Georgetown,EST,"UTC - 5"
CT,Gilman,EST,"UTC - 5"
CT,Glasgo,EST,"UTC - 5"
CT,Glastonbury,EST,"UTC - 5"
CT,Glenbrook,EST,"UTC - 5"
CT,Glenville,EST,"UTC - 5"
CT,Goshen,EST,"UTC - 5"
CT,Granby,EST,"UTC - 5"
CT,"Greens Farms",EST,"UTC - 5"
CT,Greenwich,EST,"UTC - 5"
CT,Griswold,EST,"UTC - 5"
CT,"Grosvenor Dale",EST,"UTC - 5"
CT,Groton,EST,"UTC - 5"
CT,"Groton Long Point",EST,"UTC - 5"
CT,Guilford,EST,"UTC - 5"
CT,Gurleyville,EST,"UTC - 5"
CT,Haddam,EST,"UTC - 5"
CT,"Haddam Neck",EST,"UTC - 5"
CT,Hadlyme,EST,"UTC - 5"
CT,Hamburg,EST,"UTC - 5"
CT,Hamden,EST,"UTC - 5"
CT,Hampton,EST,"UTC - 5"
CT,Hanover,EST,"UTC - 5"
CT,Hartford,EST,"UTC - 5"
CT,Harwinton,EST,"UTC - 5"
CT,Hawleyville,EST,"UTC - 5"
CT,Hazardville,EST,"UTC - 5"
CT,Hebron,EST,"UTC - 5"
CT,Higganum,EST,"UTC - 5"
CT,Hopeville,EST,"UTC - 5"
CT,"Hotchkiss School",EST,"UTC - 5"
CT,Huntington,EST,"UTC - 5"
CT,Ivoryton,EST,"UTC - 5"
CT,"Jewett City",EST,"UTC - 5"
CT,"Jordan Village",EST,"UTC - 5"
CT,"Jupiter Point",EST,"UTC - 5"
CT,Kenington,EST,"UTC - 5"
CT,Kensington,EST,"UTC - 5"
CT,Kent,EST,"UTC - 5"
CT,Killingly,EST,"UTC - 5"
CT,"Killingly Center",EST,"UTC - 5"
CT,Killingworth,EST,"UTC - 5"
CT,"Lake Garda",EST,"UTC - 5"
CT,Lakeside,EST,"UTC - 5"
CT,Lakeville,EST,"UTC - 5"
CT,"Laurel Hill",EST,"UTC - 5"
CT,Lebanon,EST,"UTC - 5"
CT,Ledyard,EST,"UTC - 5"
CT,Lisbon,EST,"UTC - 5"
CT,Litchfield,EST,"UTC - 5"
CT,"Lords Point",EST,"UTC - 5"
CT,Lyme,EST,"UTC - 5"
CT,Madison,EST,"UTC - 5"
CT,Manchester,EST,"UTC - 5"
CT,Mansfield,EST,"UTC - 5"
CT,"Mansfield Center",EST,"UTC - 5"
CT,"Mansfield Depot",EST,"UTC - 5"
CT,"Mansfield Hollow",EST,"UTC - 5"
CT,"Marble Dale",EST,"UTC - 5"
CT,Marion,EST,"UTC - 5"
CT,Marlborough,EST,"UTC - 5"
CT,"Masons Island",EST,"UTC - 5"
CT,Mechanicsville,EST,"UTC - 5"
CT,Melrose,EST,"UTC - 5"
CT,Meriden,EST,"UTC - 5"
CT,Merrow,EST,"UTC - 5"
CT,"Middle Haddam",EST,"UTC - 5"
CT,Middlebury,EST,"UTC - 5"
CT,Middlefield,EST,"UTC - 5"
CT,Middletown,EST,"UTC - 5"
CT,Milford,EST,"UTC - 5"
CT,Milldale,EST,"UTC - 5"
CT,Millstone,EST,"UTC - 5"
CT,Monroe,EST,"UTC - 5"
CT,Montville,EST,"UTC - 5"
CT,Moodus,EST,"UTC - 5"
CT,Moosup,EST,"UTC - 5"
CT,Morris,EST,"UTC - 5"
CT,"Mount Carmel",EST,"UTC - 5"
CT,Mystic,EST,"UTC - 5"
CT,Naugatuck,EST,"UTC - 5"
CT,Nepaug,EST,"UTC - 5"
CT,"New Britain",EST,"UTC - 5"
CT,"New Canaan",EST,"UTC - 5"
CT,"New Fairfield",EST,"UTC - 5"
CT,"New Hartford",EST,"UTC - 5"
CT,"New Haven",EST,"UTC - 5"
CT,"New London",EST,"UTC - 5"
CT,"New Milford",EST,"UTC - 5"
CT,"New Preston",EST,"UTC - 5"
CT,Newington,EST,"UTC - 5"
CT,Newtown,EST,"UTC - 5"
CT,Niantic,EST,"UTC - 5"
CT,Noank,EST,"UTC - 5"
CT,Norfolk,EST,"UTC - 5"
CT,Noroton,EST,"UTC - 5"
CT,"Noroton Heights",EST,"UTC - 5"
CT,"North Branford",EST,"UTC - 5"
CT,"North Canaan",EST,"UTC - 5"
CT,"North Canton",EST,"UTC - 5"
CT,"North Franklin",EST,"UTC - 5"
CT,"North Granby",EST,"UTC - 5"
CT,"North Grosvendale",EST,"UTC - 5"
CT,"North Grosvenordale",EST,"UTC - 5"
CT,"North Haven",EST,"UTC - 5"
CT,"North Lyme",EST,"UTC - 5"
CT,"North Sterling",EST,"UTC - 5"
CT,"North Stonington",EST,"UTC - 5"
CT,"North Thompsonville",EST,"UTC - 5"
CT,"North Westchester",EST,"UTC - 5"
CT,"North Windham",EST,"UTC - 5"
CT,Northfield,EST,"UTC - 5"
CT,Northford,EST,"UTC - 5"
CT,Northville,EST,"UTC - 5"
CT,Norwalk,EST,"UTC - 5"
CT,Norwich,EST,"UTC - 5"
CT,Norwichtown,EST,"UTC - 5"
CT,Oakdale,EST,"UTC - 5"
CT,Oakville,EST,"UTC - 5"
CT,Occum,EST,"UTC - 5"
CT,"Old Greenwich",EST,"UTC - 5"
CT,"Old Lyme",EST,"UTC - 5"
CT,"Old Mystic",EST,"UTC - 5"
CT,"Old Saybrook",EST,"UTC - 5"
CT,Oneco,EST,"UTC - 5"
CT,Orange,EST,"UTC - 5"
CT,Oxford,EST,"UTC - 5"
CT,Pawcatuck,EST,"UTC - 5"
CT,Pequabuck,EST,"UTC - 5"
CT,"Perkins Corner",EST,"UTC - 5"
CT,"Pine Meadow",EST,"UTC - 5"
CT,Plainfield,EST,"UTC - 5"
CT,Plainville,EST,"UTC - 5"
CT,Plantsville,EST,"UTC - 5"
CT,Plaza,EST,"UTC - 5"
CT,"Pleasant Valley",EST,"UTC - 5"
CT,Plymouth,EST,"UTC - 5"
CT,"Point O Woods",EST,"UTC - 5"
CT,Pomfret,EST,"UTC - 5"
CT,"Pomfret Center",EST,"UTC - 5"
CT,"Pomfret Landing",EST,"UTC - 5"
CT,"Ponfret Center",EST,"UTC - 5"
CT,Poquetanuck,EST,"UTC - 5"
CT,Poquonock,EST,"UTC - 5"
CT,"Poquonock Bridge",EST,"UTC - 5"
CT,Portland,EST,"UTC - 5"
CT,Preston,EST,"UTC - 5"
CT,"Preston City",EST,"UTC - 5"
CT,Prospect,EST,"UTC - 5"
CT,Putnam,EST,"UTC - 5"
CT,"Putnam Heights",EST,"UTC - 5"
CT,"Quaker Hill",EST,"UTC - 5"
CT,Quinebaug,EST,"UTC - 5"
CT,Redding,EST,"UTC - 5"
CT,"Redding Center",EST,"UTC - 5"
CT,"Redding Ridge",EST,"UTC - 5"
CT,Rhodesville,EST,"UTC - 5"
CT,Ridgefield,EST,"UTC - 5"
CT,Ridgeway,EST,"UTC - 5"
CT,Riverside,EST,"UTC - 5"
CT,Riverton,EST,"UTC - 5"
CT,Rockfall,EST,"UTC - 5"
CT,Rockville,EST,"UTC - 5"
CT,"Rocky Hill",EST,"UTC - 5"
CT,Rogers,EST,"UTC - 5"
CT,Rowayton,EST,"UTC - 5"
CT,Roxbury,EST,"UTC - 5"
CT,Salem,EST,"UTC - 5"
CT,Salisbury,EST,"UTC - 5"
CT,"Sandy Hook",EST,"UTC - 5"
CT,Saugatuck,EST,"UTC - 5"
CT,"Sawyer District",EST,"UTC - 5"
CT,Scantic,EST,"UTC - 5"
CT,Scitico,EST,"UTC - 5"
CT,Scotland,EST,"UTC - 5"
CT,Seymour,EST,"UTC - 5"
CT,Sharon,EST,"UTC - 5"
CT,"Sharon Valley",EST,"UTC - 5"
CT,Shawondassee,EST,"UTC - 5"
CT,Shelton,EST,"UTC - 5"
CT,Sherman,EST,"UTC - 5"
CT,"Silver Lane",EST,"UTC - 5"
CT,Simbury,EST,"UTC - 5"
CT,Simsbury,EST,"UTC - 5"
CT,Somers,EST,"UTC - 5"
CT,Somersville,EST,"UTC - 5"
CT,"South Britain",EST,"UTC - 5"
CT,"South Canaan",EST,"UTC - 5"
CT,"South Canterbury",EST,"UTC - 5"
CT,"South Chaplin",EST,"UTC - 5"
CT,"South Glastonbury",EST,"UTC - 5"
CT,"South Kent",EST,"UTC - 5"
CT,"South Killingly",EST,"UTC - 5"
CT,"South Lyme",EST,"UTC - 5"
CT,"South Norwalk",EST,"UTC - 5"
CT,"South Willington",EST,"UTC - 5"
CT,"South Windham",EST,"UTC - 5"
CT,"South Windsor",EST,"UTC - 5"
CT,"South Woodstock",EST,"UTC - 5"
CT,Southbury,EST,"UTC - 5"
CT,Southington,EST,"UTC - 5"
CT,Southport,EST,"UTC - 5"
CT,Sprague,EST,"UTC - 5"
CT,Springdale,EST,"UTC - 5"
CT,Stafford,EST,"UTC - 5"
CT,"Stafford Springs",EST,"UTC - 5"
CT,Staffordville,EST,"UTC - 5"
CT,Stamford,EST,"UTC - 5"
CT,Stepney,EST,"UTC - 5"
CT,Sterling,EST,"UTC - 5"
CT,Stevenson,EST,"UTC - 5"
CT,Stonington,EST,"UTC - 5"
CT,Storrs,EST,"UTC - 5"
CT,"Storrs Mansfield",EST,"UTC - 5"
CT,Stratford,EST,"UTC - 5"
CT,Suffield,EST,"UTC - 5"
CT,Taconic,EST,"UTC - 5"
CT,Taftville,EST,"UTC - 5"
CT,"Talcott Village",EST,"UTC - 5"
CT,Talcottville,EST,"UTC - 5"
CT,Tariffville,EST,"UTC - 5"
CT,Terryville,EST,"UTC - 5"
CT,Thomaston,EST,"UTC - 5"
CT,Thompson,EST,"UTC - 5"
CT,Thompsonville,EST,"UTC - 5"
CT,Tokeneke,EST,"UTC - 5"
CT,Tolland,EST,"UTC - 5"
CT,Torrington,EST,"UTC - 5"
CT,Trumbull,EST,"UTC - 5"
CT,Turnpike,EST,"UTC - 5"
CT,"Twin Lakes",EST,"UTC - 5"
CT,Uncasville,EST,"UTC - 5"
CT,Union,EST,"UTC - 5"
CT,"Union City",EST,"UTC - 5"
CT,Unionville,EST,"UTC - 5"
CT,"Unity Plaza",EST,"UTC - 5"
CT,"Upper Stepney",EST,"UTC - 5"
CT,Vernon,EST,"UTC - 5"
CT,"Vernon Rockville",EST,"UTC - 5"
CT,Versailles,EST,"UTC - 5"
CT,Voluntown,EST,"UTC - 5"
CT,Wallingford,EST,"UTC - 5"
CT,Wapping,EST,"UTC - 5"
CT,"Warehouse Point",EST,"UTC - 5"
CT,Warren,EST,"UTC - 5"
CT,Warrenville,EST,"UTC - 5"
CT,Washington,EST,"UTC - 5"
CT,"Washington Depot",EST,"UTC - 5"
CT,"Washington Green",EST,"UTC - 5"
CT,Waterbury,EST,"UTC - 5"
CT,Waterford,EST,"UTC - 5"
CT,Watertown,EST,"UTC - 5"
CT,Wauregan,EST,"UTC - 5"
CT,Weathersfield,EST,"UTC - 5"
CT,Weatogue,EST,"UTC - 5"
CT,"West Ashford",EST,"UTC - 5"
CT,"West Cornwall",EST,"UTC - 5"
CT,"West Granby",EST,"UTC - 5"
CT,"West Hartford",EST,"UTC - 5"
CT,"West Hartland",EST,"UTC - 5"
CT,"West Haven",EST,"UTC - 5"
CT,"West Mystic",EST,"UTC - 5"
CT,"West Redding",EST,"UTC - 5"
CT,"West Simsbury",EST,"UTC - 5"
CT,"West Stafford",EST,"UTC - 5"
CT,"West Suffield",EST,"UTC - 5"
CT,"West Wauregan",EST,"UTC - 5"
CT,"West Willington",EST,"UTC - 5"
CT,"West Woods",EST,"UTC - 5"
CT,Westbrook,EST,"UTC - 5"
CT,Weston,EST,"UTC - 5"
CT,Westport,EST,"UTC - 5"
CT,Westville,EST,"UTC - 5"
CT,Wethersfield,EST,"UTC - 5"
CT,Whitneyville,EST,"UTC - 5"
CT,Willimantic,EST,"UTC - 5"
CT,Willington,EST,"UTC - 5"
CT,Wilson,EST,"UTC - 5"
CT,Wilton,EST,"UTC - 5"
CT,Winchester,EST,"UTC - 5"
CT,"Winchester Center",EST,"UTC - 5"
CT,Windham,EST,"UTC - 5"
CT,Windsor,EST,"UTC - 5"
CT,"Windsor Locks",EST,"UTC - 5"
CT,Windsorville,EST,"UTC - 5"
CT,Winsted,EST,"UTC - 5"
CT,Wolcott,EST,"UTC - 5"
CT,Woodbridge,EST,"UTC - 5"
CT,Woodbury,EST,"UTC - 5"
CT,Woodstock,EST,"UTC - 5"
CT,"Woodstock Valley",EST,"UTC - 5"
CT,Yalesville,EST,"UTC - 5"
CT,Yantic,EST,"UTC - 5"
DE,Arden,EST,"UTC - 5"
DE,Bear,EST,"UTC - 5"
DE,Bellefonte,EST,"UTC - 5"
DE,"Bethany Beach",EST,"UTC - 5"
DE,Bethel,EST,"UTC - 5"
DE,Blackbird,EST,"UTC - 5"
DE,Blades,EST,"UTC - 5"
DE,Bridgeville,EST,"UTC - 5"
DE,Camden,EST,"UTC - 5"
DE,"Camden Wyoming",EST,"UTC - 5"
DE,Cheswold,EST,"UTC - 5"
DE,Christiana,EST,"UTC - 5"
DE,Clarksville,EST,"UTC - 5"
DE,Claymont,EST,"UTC - 5"
DE,Clayton,EST,"UTC - 5"
DE,Dagsboro,EST,"UTC - 5"
DE,"Delaware City",EST,"UTC - 5"
DE,Delmar,EST,"UTC - 5"
DE,"Dewey Beach",EST,"UTC - 5"
DE,Dover,EST,"UTC - 5"
DE,"Dover Air Force Base",EST,"UTC - 5"
DE,Edgemoor,EST,"UTC - 5"
DE,Ellendale,EST,"UTC - 5"
DE,Elsmere,EST,"UTC - 5"
DE,Farmington,EST,"UTC - 5"
DE,Felton,EST,"UTC - 5"
DE,"Fenwick Island",EST,"UTC - 5"
DE,Frankford,EST,"UTC - 5"
DE,Frederica,EST,"UTC - 5"
DE,Georgetown,EST,"UTC - 5"
DE,Greenville,EST,"UTC - 5"
DE,Greenwood,EST,"UTC - 5"
DE,Harbeson,EST,"UTC - 5"
DE,Harrington,EST,"UTC - 5"
DE,Hartly,EST,"UTC - 5"
DE,Hockessin,EST,"UTC - 5"
DE,Houston,EST,"UTC - 5"
DE,Kenton,EST,"UTC - 5"
DE,Kirkwood,EST,"UTC - 5"
DE,Laurel,EST,"UTC - 5"
DE,Leipsic,EST,"UTC - 5"
DE,Lewes,EST,"UTC - 5"
DE,"Lewes Beach",EST,"UTC - 5"
DE,Lincoln,EST,"UTC - 5"
DE,"Little Creek",EST,"UTC - 5"
DE,"Long Neck",EST,"UTC - 5"
DE,Magnolia,EST,"UTC - 5"
DE,Manor,EST,"UTC - 5"
DE,Marshallton,EST,"UTC - 5"
DE,Marydel,EST,"UTC - 5"
DE,Middletown,EST,"UTC - 5"
DE,Milford,EST,"UTC - 5"
DE,Millsboro,EST,"UTC - 5"
DE,Millville,EST,"UTC - 5"
DE,Milton,EST,"UTC - 5"
DE,Minquadale,EST,"UTC - 5"
DE,Montchanin,EST,"UTC - 5"
DE,Nassau,EST,"UTC - 5"
DE,"New Castle",EST,"UTC - 5"
DE,Newark,EST,"UTC - 5"
DE,Newport,EST,"UTC - 5"
DE,"Ocean View",EST,"UTC - 5"
DE,Oceanview,EST,"UTC - 5"
DE,Odessa,EST,"UTC - 5"
DE,"Port Penn",EST,"UTC - 5"
DE,Rehoboth,EST,"UTC - 5"
DE,"Rehoboth Beach",EST,"UTC - 5"
DE,Rockland,EST,"UTC - 5"
DE,"Saint Georges",EST,"UTC - 5"
DE,Seaford,EST,"UTC - 5"
DE,Selbyville,EST,"UTC - 5"
DE,Smyrna,EST,"UTC - 5"
DE,Stanton,EST,"UTC - 5"
DE,Talleyville,EST,"UTC - 5"
DE,Townsend,EST,"UTC - 5"
DE,Viola,EST,"UTC - 5"
